,LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6
6063,0.372314,0.579834,25.915527,0.006104,600.00001,548.200017,8.399714,90.089198,1e-05,1.7e-05,0.004054,0.006882,0.105359,0.131113,6.42221,0.006661,600.0,548.2,8.333331,90.0,1e-05,1.7e-05,0.000619,0.00249,600.0,548.2,8.39566,90.082316,0.0,0.0,1.152822,1.866568,1e-05,1.7e-05,0.000852,0.001351,0.000667,0.00111,1.42307,2.325345,0.0,0.0,65913.271055,94513.136746,4704.599842,9631.219306,655.362039,90.089198,600.00001,548.200017,8.399714,0.0
6064,0.372314,0.579834,25.915527,0.006104,600.00001,548.200007,8.399394,90.085764,1e-05,7e-06,0.006004,0.007176,0.100676,0.131113,6.621221,0.006661,600.0,548.2,8.311265,90.0,1e-05,7e-06,0.000444,0.002559,600.0,548.2,8.393389,90.078588,0.0,0.0,1.55419,1.866549,1e-05,7e-06,0.001407,0.00214,0.000667,0.000443,1.954473,2.344948,0.0,0.0,81309.312357,34.064832,4704.599842,9631.219306,655.362544,90.085764,600.00001,548.200007,8.399394,0.0
6065,0.402832,0.543213,27.563477,0.006104,600.00001,548.199967,8.398774,90.083018,1e-05,3.3e-05,0.008449,0.008162,0.098335,0.133455,6.845986,0.006661,600.0,548.2,8.284798,90.0,1e-05,3.3e-05,0.000179,0.001637,600.0,548.2,8.390324,90.074855,0.0,0.0,2.039564,1.866531,1e-05,3.3e-05,0.002097,0.001553,0.000667,0.002223,2.60285,2.410697,0.0,0.0,98327.304579,34.064492,4704.599842,9631.219306,655.363412,90.083018,600.00001,548.199967,8.398774,0.0
6066,0.402832,0.543213,27.563477,0.006104,600.00001,548.199927,8.397674,90.079584,1e-05,7.3e-05,0.011376,0.008462,0.098335,0.133455,7.082459,0.006661,600.0,548.2,8.253531,90.0,1e-05,7.3e-05,0.00012,0.001337,600.0,548.2,8.386298,90.071122,0.0,0.0,2.616951,1.866512,1e-05,7.3e-05,0.002865,0.001334,0.000667,0.00489,3.375353,2.430668,0.0,0.0,116967.231504,34.064152,4704.599842,9631.219306,655.364814,90.079584,600.00001,548.199927,8.397674,0.0
6067,0.402832,0.518799,29.644775,0.012207,600.00001,548.199937,8.395944,90.076151,1e-05,6.3e-05,0.014818,0.008762,0.098335,0.138137,7.365757,0.006661,600.0,548.2,8.217065,90.0,1e-05,6.3e-05,0.000446,0.001037,600.0,548.2,8.381126,90.067389,0.0,0.0,3.294337,1.866493,1e-05,6.3e-05,0.003704,0.001037,0.000667,0.004223,4.282179,2.450635,0.0,0.0,137225.278071,34.063812,4704.599842,9631.219306,655.366865,90.076151,600.00001,548.199937,8.395944,0.0
6068,0.402832,0.518799,29.644775,0.012207,600.00002,548.199957,8.393344,90.072718,2e-05,4.3e-05,0.018733,0.009062,0.098335,0.124089,7.616277,0.006661,600.0,548.2,8.174998,90.0,2e-05,4.3e-05,0.000714,0.000737,600.0,548.2,8.374611,90.063656,0.0,0.0,4.07973,1.866475,2e-05,4.3e-05,0.004529,0.000737,0.001333,0.00289,5.328601,2.470601,0.0,0.0,159105.226939,34.063472,4704.599842,9631.219295,655.36984,90.072718,600.00002,548.199957,8.393344,0.0
6069,0.396729,0.543213,31.82373,0.012207,600.00001,548.199957,8.389654,90.069285,1e-05,4.3e-05,0.023118,0.009362,0.098335,0.121748,7.887869,0.006661,600.0,548.2,8.126931,90.0,1e-05,4.3e-05,0.000878,0.000437,600.0,548.2,8.366536,90.059923,0.0,0.0,4.981134,1.866456,1e-05,4.3e-05,0.005295,0.000437,0.000667,0.00289,6.522319,2.490564,0.0,0.0,182607.061889,34.063133,4704.599842,9631.219295,655.373903,90.069285,600.00001,548.199957,8.389654,0.0
6070,0.396729,0.543213,31.82373,0.012207,600.00001,548.199947,8.384664,90.065852,1e-05,5.3e-05,0.027993,0.009661,0.098335,0.133455,8.136047,0.006661,600.0,548.2,8.072465,90.0,1e-05,5.3e-05,0.000918,0.000138,600.0,548.2,8.356671,90.05619,0.0,0.0,6.006539,1.866437,1e-05,5.3e-05,0.005981,0.000138,0.000667,0.003557,7.872723,2.510524,0.0,0.0,207726.967862,34.062793,4704.599842,9631.219306,655.37932,90.065852,600.00001,548.199947,8.384664,0.0
6071,0.396729,0.500488,33.807373,0.012207,600.0,548.199927,8.378033,90.062418,0.0,7.3e-05,0.033265,0.009961,0.095994,0.124089,8.405298,0.013323,600.0,548.2,8.011198,90.0,0.0,7.3e-05,0.000697,0.000162,600.0,548.2,8.344768,90.052457,0.0,0.0,7.163949,1.866419,0.0,7.3e-05,0.006451,0.000162,0.0,0.00489,9.381601,2.530482,0.0,0.0,234468.727517,34.062436,4704.599842,9631.219295,655.38631,90.062418,600.0,548.199927,8.378033,0.0
6072,0.396729,0.500488,33.807373,0.012207,600.0,548.199947,8.369743,90.058985,0.0,5.3e-05,0.039178,0.010261,0.095994,0.126431,8.690938,0.013323,600.0,548.2,7.942731,90.0,0.0,5.3e-05,0.000419,0.000462,600.0,548.2,8.330565,90.048725,0.0,0.0,8.46137,1.8664,0.0,5.3e-05,0.006907,0.000462,0.0,0.003557,11.073222,2.550438,0.0,0.0,262832.324637,34.062096,4704.599842,9631.219295,655.395036,90.058985,600.0,548.199947,8.369743,0.0
