,CURRENT|6
6063,0.0
6064,0.002686
6065,0.002686
6066,0.002686
6067,0.002686
6068,0.002686
6069,0.002686
6070,0.002686
6071,0.002686
6072,0.002686
6073,0.002686
6074,0.002686
6075,0.005371
6076,0.005371
6077,0.005371
6078,0.005371
6079,0.005371
6080,0.005371
6081,0.005371
6082,0.005371
6083,0.008057
6084,0.008057
6085,0.008057
6086,0.008057
6087,0.008057
6088,0.008057
6089,0.008057
6090,0.008057
6091,0.008057
6092,0.008057
6093,0.008057
6094,0.008057
6095,0.008057
6096,0.010742
6097,0.010742
6098,0.010742
6099,0.010742
6100,0.010742
6101,0.010742
6102,0.010742
6103,0.010742
6104,0.010742
6105,0.013428
6106,0.013428
6107,0.013428
6108,0.013428
6109,0.013428
6110,0.013428
6111,0.013428
6112,0.013428
6113,0.013428
6114,0.016113
6115,0.016113
6116,0.016113
6117,0.016113
6118,0.016113
6119,0.016113
6120,0.016113
6121,0.016113
6122,0.016113
6123,0.016113
6124,0.018799
6125,0.018799
6126,0.018799
6127,0.018799
6128,0.018799
6129,0.018799
6130,0.018799
6131,0.018799
6132,0.018799
6133,0.018799
6134,0.018799
6135,0.018799
6136,0.021484
6137,0.021484
6138,0.021484
6139,0.021484
6140,0.021484
6141,0.021484
6142,0.021484
6143,0.021484
6144,0.021484
6145,0.021484
6146,0.021484
6147,0.021484
6148,0.021484
6149,0.021484
6150,0.02417
6151,0.02417
6152,0.02417
6153,0.02417
6154,0.02417
6155,0.02417
6156,0.02417
6157,0.02417
6158,0.02417
6159,0.02417
6160,0.02417
6161,0.02417
6162,0.02417
6163,0.02417
6164,0.02417
6165,0.02417
6166,0.026855
6167,0.026855
6168,0.026855
6169,0.026855
6170,0.026855
6171,0.026855
6172,0.026855
6173,0.026855
6174,0.026855
6175,0.026855
6176,0.026855
6177,0.026855
6178,0.026855
6179,0.026855
6180,0.026855
6181,0.026855
6182,0.026855
6183,0.026855
6184,0.026855
6185,0.029541
6186,0.029541
6187,0.029541
6188,0.029541
6189,0.029541
6190,0.029541
6191,0.029541
6192,0.029541
6193,0.029541
6194,0.029541
6195,0.029541
6196,0.029541
6197,0.029541
6198,0.029541
6199,0.029541
6200,0.029541
6201,0.029541
6202,0.029541
6203,0.029541
6204,0.029541
6205,0.029541
6206,0.029541
6207,0.029541
6208,0.029541
6209,0.029541
6210,0.029541
6211,0.029541
6212,0.029541
6213,0.032227
6214,0.032227
6215,0.032227
6216,0.032227
6217,0.032227
6218,0.032227
6219,0.032227
6220,0.032227
6221,0.032227
6222,0.032227
6223,0.032227
6224,0.032227
6225,0.032227
6226,0.032227
6227,0.032227
6228,0.032227
6229,0.032227
6230,0.032227
6231,0.032227
6232,0.032227
6233,0.032227
6234,0.032227
6235,0.032227
6236,0.032227
6237,0.032227
6238,0.032227
6239,0.032227
6240,0.032227
6241,0.032227
6242,0.032227
6243,0.032227
6244,0.032227
6245,0.032227
6246,0.032227
6247,0.032227
6248,0.032227
6249,0.032227
6250,0.032227
6251,0.032227
6252,0.032227
6253,0.032227
6254,0.032227
6255,0.032227
6256,0.032227
6257,0.032227
6258,0.032227
6259,0.032227
6260,0.032227
6261,0.032227
6262,0.032227
6263,0.032227
6264,0.032227
6265,0.032227
6266,0.032227
6267,0.032227
6268,0.032227
6269,0.032227
6270,0.032227
6271,0.032227
6272,0.032227
6273,0.032227
6274,0.032227
6275,0.034912
6276,0.034912
6277,0.034912
6278,0.034912
6279,0.034912
6280,0.034912
6281,0.034912
6282,0.034912
6283,0.034912
6284,0.034912
6285,0.034912
6286,0.034912
6287,0.034912
6288,0.034912
6289,0.034912
6290,0.034912
6291,0.034912
6292,0.034912
6293,0.034912
6294,0.034912
6295,0.034912
6296,0.034912
6297,0.034912
6298,0.034912
6299,0.034912
6300,0.034912
6301,0.034912
6302,0.034912
6303,0.034912
