,LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6
0,1.403809,2.349854,24.34082,0.0,599.99999,548.200007,8.400004,89.995127,1e-05,7e-06,4e-06,0.004873,0.330125,0.578303,6.005457,0.0,600.0,548.2,8.4,90.0,1e-05,7e-06,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,7e-06,4e-06,0.0,0.000667,0.000443,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599934,9631.220485,655.362932,89.995127,599.99999,548.200007,8.400004,0.0
1,1.501465,2.404785,24.34082,0.0,600.0,548.200007,8.400024,89.995127,0.0,7e-06,2.4e-05,0.004873,0.353538,0.59001,6.007798,0.0,600.0,548.2,8.4,90.0,0.0,7e-06,2.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,0.0,7e-06,2.4e-05,0.0,0.0,0.000443,0.00161,0.0,0.0,0.0,0.0,0.0,4704.599968,9631.220474,655.362932,89.995127,600.0,548.200007,8.400024,0.0
2,1.501465,2.404785,24.34082,0.0,599.99999,548.199997,8.400014,89.995127,1e-05,3e-06,1.4e-05,0.004873,0.367585,0.59001,6.005457,0.0,600.0,548.2,8.4,90.0,1e-05,3e-06,1.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,3e-06,1.4e-05,0.0,0.000667,0.000223,0.000943,0.0,0.0,0.0,0.0,0.0,4704.599968,9631.220474,655.362932,89.995127,599.99999,548.199997,8.400014,0.0
3,1.318359,2.34375,24.359131,0.0,600.0,548.199987,8.400014,89.995127,0.0,1.3e-05,1.4e-05,0.004873,0.332466,0.578303,5.996091,0.0,600.0,548.2,8.4,90.0,0.0,1.3e-05,1.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,0.0,1.3e-05,1.4e-05,0.0,0.0,0.00089,0.000943,0.0,0.0,0.0,0.0,0.0,4704.599934,9631.220485,655.362942,89.995127,600.0,548.199987,8.400014,0.0
4,1.318359,2.34375,24.359131,0.0,599.99999,548.199997,8.400024,89.995127,1e-05,3e-06,2.4e-05,0.004873,0.341831,0.578303,5.998433,0.0,600.0,548.2,8.4,90.0,1e-05,3e-06,2.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,3e-06,2.4e-05,0.0,0.000667,0.000223,0.00161,0.0,0.0,0.0,0.0,0.0,4704.599957,9631.220485,655.362942,89.995127,599.99999,548.199997,8.400024,0.0
5,1.45874,2.398682,24.334717,0.0,600.00001,548.199997,8.400014,89.995127,1e-05,3e-06,1.4e-05,0.004873,0.379292,0.59001,6.005457,0.0,600.0,548.2,8.4,90.0,1e-05,3e-06,1.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,3e-06,1.4e-05,0.0,0.000667,0.000223,0.000943,0.0,0.0,0.0,0.0,0.0,4704.599979,9631.220474,655.362932,89.995127,600.00001,548.199997,8.400014,0.0
6,1.45874,2.398682,24.334717,0.0,600.0,548.199997,8.400004,89.995127,0.0,3e-06,4e-06,0.004873,0.332466,0.592351,6.000774,0.0,600.0,548.2,8.4,90.0,0.0,3e-06,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,0.0,3e-06,4e-06,0.0,0.0,0.000223,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599934,9631.220474,655.362942,89.995127,600.0,548.199997,8.400004,0.0
7,1.501465,2.349854,24.346924,0.0,600.00001,548.199987,8.400014,89.995127,1e-05,1.3e-05,1.4e-05,0.004873,0.341831,0.580645,6.000774,0.0,600.0,548.2,8.4,90.0,1e-05,1.3e-05,1.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,1.3e-05,1.4e-05,0.0,0.000667,0.00089,0.000943,0.0,0.0,0.0,0.0,0.0,4704.599957,9631.220485,655.362942,89.995127,600.00001,548.199987,8.400014,0.0
8,1.501465,2.349854,24.346924,0.0,600.00002,548.199977,8.400004,89.995127,2e-05,2.3e-05,4e-06,0.004873,0.376951,0.578303,6.000774,0.0,600.0,548.2,8.4,90.0,2e-05,2.3e-05,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,2e-05,2.3e-05,4e-06,0.0,0.001333,0.001557,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599979,9631.220485,655.362942,89.995127,600.00002,548.199977,8.400004,0.0
9,1.275635,2.398682,24.346924,0.0,600.00001,548.199997,8.399984,89.995127,1e-05,3e-06,1.6e-05,0.004873,0.334807,0.59001,6.007798,0.0,600.0,548.2,8.4,90.0,1e-05,3e-06,1.6e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,3e-06,1.6e-05,0.0,0.000667,0.000223,0.001057,0.0,0.0,0.0,0.0,0.0,4704.599934,9631.220474,655.362932,89.995127,600.00001,548.199997,8.399984,0.0
10,1.275635,2.398682,24.346924,0.0,600.0,548.200007,8.399994,89.995127,0.0,7e-06,6e-06,0.004873,0.341831,0.592351,6.003115,0.0,600.0,548.2,8.4,90.0,0.0,7e-06,6e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,0.0,7e-06,6e-06,0.0,0.0,0.000443,0.000391,0.0,0.0,0.0,0.0,0.0,4704.599957,9631.220474,655.362942,89.995127,600.0,548.200007,8.399994,0.0
11,1.495361,2.349854,24.346924,0.0,600.00001,548.200007,8.399984,89.995127,1e-05,7e-06,1.6e-05,0.004873,0.372268,0.580645,6.000774,0.0,600.0,548.2,8.4,90.0,1e-05,7e-06,1.6e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,7e-06,1.6e-05,0.0,0.000667,0.000443,0.001057,0.0,0.0,0.0,0.0,0.0,4704.599979,9631.220485,655.362942,89.995127,600.00001,548.200007,8.399984,0.0
12,1.495361,2.349854,24.346924,0.0,600.00001,548.199997,8.399984,89.995127,1e-05,3e-06,1.6e-05,0.004873,0.332466,0.578303,6.010139,0.0,600.0,548.2,8.4,90.0,1e-05,3e-06,1.6e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,3e-06,1.6e-05,0.0,0.000667,0.000223,0.001057,0.0,0.0,0.0,0.0,0.0,4704.599934,9631.220485,655.362932,89.995127,600.00001,548.199997,8.399984,0.0
13,1.44043,2.392578,24.377441,0.0,600.0,548.200007,8.399994,89.995127,0.0,7e-06,6e-06,0.004873,0.330125,0.587668,6.000774,0.0,600.0,548.2,8.4,90.0,0.0,7e-06,6e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,0.0,7e-06,6e-06,0.0,0.0,0.000443,0.000391,0.0,0.0,0.0,0.0,0.0,4704.599945,9631.220474,655.362942,89.995127,600.0,548.200007,8.399994,0.0
14,1.44043,2.392578,24.377441,0.0,600.00002,548.199997,8.399994,89.995127,2e-05,3e-06,6e-06,0.004873,0.372268,0.592351,6.010139,0.0,600.0,548.2,8.4,90.0,2e-05,3e-06,6e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,2e-05,3e-06,6e-06,0.0,0.001333,0.000223,0.000391,0.0,0.0,0.0,0.0,0.0,4704.599979,9631.220474,655.362932,89.995127,600.00002,548.199997,8.399994,0.0
15,1.330566,2.398682,24.34082,0.0,600.00001,548.199987,8.400004,89.995127,1e-05,1.3e-05,4e-06,0.004873,0.346514,0.592351,5.998433,0.0,600.0,548.2,8.4,90.0,1e-05,1.3e-05,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,1.3e-05,4e-06,0.0,0.000667,0.00089,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599945,9631.220474,655.362942,89.995127,600.00001,548.199987,8.400004,0.0
16,1.330566,2.398682,24.34082,0.0,600.0,548.199977,8.400004,89.995127,0.0,2.3e-05,4e-06,0.004873,0.330125,0.575962,5.998433,0.0,600.0,548.2,8.4,90.0,0.0,2.3e-05,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,4e-06,0.0,0.0,0.001557,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599945,9631.220485,655.362942,89.995127,600.0,548.199977,8.400004,0.0
17,1.531982,2.386475,24.334717,0.0,600.00002,548.199967,8.400004,89.995127,2e-05,3.3e-05,4e-06,0.004873,0.369927,0.587668,6.005457,0.0,600.0,548.2,8.4,90.0,2e-05,3.3e-05,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,2e-05,3.3e-05,4e-06,0.0,0.001333,0.002223,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599979,9631.220474,655.362932,89.995127,600.00002,548.199967,8.400004,0.0
