,LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6
100,1.452637,2.386475,24.353027,0.0,600.0,548.200027,8.400004,89.995127,0.0,2.7e-05,4e-06,0.004873,0.320759,0.601716,6.003115,0.0,600.0,548.2,8.4,90.0,0.0,2.7e-05,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,4e-06,0.0,0.0,0.001777,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599934,9631.220474,655.362942,89.995127,600.0,548.200027,8.400004,0.0
102,1.446533,2.380371,24.359131,0.0,600.00001,548.199987,8.400014,89.995127,1e-05,1.3e-05,1.4e-05,0.004873,0.379292,0.587668,5.99375,0.0,600.0,548.2,8.4,90.0,1e-05,1.3e-05,1.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,1.3e-05,1.4e-05,0.0,0.000667,0.00089,0.000943,0.0,0.0,0.0,0.0,0.0,4704.599991,9631.220485,655.362951,89.995127,600.00001,548.199987,8.400014,0.0
105,1.507568,2.380371,24.359131,0.0,600.00001,548.199977,8.399994,89.995127,1e-05,2.3e-05,6e-06,0.004873,0.376951,0.587668,6.005457,0.0,600.0,548.2,8.4,90.0,1e-05,2.3e-05,6e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,2.3e-05,6e-06,0.0,0.000667,0.001557,0.00039,0.0,0.0,0.0,0.0,0.0,4704.599991,9631.220485,655.362942,89.995127,600.00001,548.199977,8.399994,0.0
107,1.391602,2.429199,24.365234,0.0,599.99998,548.199977,8.399984,89.995127,2e-05,2.3e-05,1.6e-05,0.004873,0.318418,0.585327,6.005457,0.0,600.0,548.2,8.4,90.0,2e-05,2.3e-05,1.6e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,2e-05,2.3e-05,1.6e-05,0.0,0.001333,0.001557,0.001057,0.0,0.0,0.0,0.0,0.0,4704.599945,9631.220485,655.362942,89.995127,599.99998,548.199977,8.399984,0.0
108,1.391602,2.429199,24.365234,0.0,600.00001,548.200007,8.399994,89.995127,1e-05,7e-06,6e-06,0.004873,0.372268,0.599375,6.012481,0.0,600.0,548.2,8.4,90.0,1e-05,7e-06,6e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,7e-06,6e-06,0.0,0.000667,0.000443,0.00039,0.0,0.0,0.0,0.0,0.0,4704.599991,9631.220474,655.362932,89.995127,600.00001,548.200007,8.399994,0.0
110,1.293945,2.392578,24.389648,0.0,599.99999,548.200007,8.400004,89.995127,1e-05,7e-06,4e-06,0.004873,0.325442,0.592351,6.003115,0.0,600.0,548.2,8.4,90.0,1e-05,7e-06,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,7e-06,4e-06,0.0,0.000667,0.000443,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599945,9631.220485,655.362942,89.995127,599.99999,548.200007,8.400004,0.0
111,1.489258,2.392578,24.377441,0.0,600.0,548.200027,8.400014,89.995127,0.0,2.7e-05,1.4e-05,0.004873,0.372268,0.59001,6.007798,0.0,600.0,548.2,8.4,90.0,0.0,2.7e-05,1.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,1.4e-05,0.0,0.0,0.001777,0.000943,0.0,0.0,0.0,0.0,0.0,4704.599991,9631.220485,655.362932,89.995127,600.0,548.200027,8.400014,0.0
113,1.361084,2.392578,24.353027,0.0,599.99999,548.199997,8.400014,89.995127,1e-05,3e-06,1.4e-05,0.004873,0.313735,0.59001,6.007798,0.0,600.0,548.2,8.4,90.0,1e-05,3e-06,1.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,3e-06,1.4e-05,0.0,0.000667,0.000223,0.000943,0.0,0.0,0.0,0.0,0.0,4704.599934,9631.220485,655.362932,89.995127,599.99999,548.199997,8.400014,0.0
116,1.361084,2.386475,24.346924,0.0,599.99999,548.200007,8.400014,89.995127,1e-05,7e-06,1.4e-05,0.004873,0.318418,0.587668,6.003115,0.0,600.0,548.2,8.4,90.0,1e-05,7e-06,1.4e-05,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,7e-06,1.4e-05,0.0,0.000667,0.000443,0.000943,0.0,0.0,0.0,0.0,0.0,4704.599934,9631.220485,655.362942,89.995127,599.99999,548.200007,8.400014,0.0
118,1.519775,2.392578,24.389648,0.0,599.99999,548.199997,8.400004,89.995127,1e-05,3e-06,4e-06,0.004873,0.372268,0.585327,5.99375,0.0,600.0,548.2,8.4,90.0,1e-05,3e-06,4e-06,0.0,600.0,548.2,8.4,90.0,0.0,0.0,0.0,0.0,1e-05,3e-06,4e-06,0.0,0.000667,0.000223,0.000276,0.0,0.0,0.0,0.0,0.0,4704.599979,9631.220485,655.362951,89.995127,599.99999,548.199997,8.400004,0.0
