,CURRENT|6
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
101,0.0
103,0.0
104,0.0
106,0.0
109,0.0
112,0.0
114,0.0
115,0.0
117,0.0
120,0.0
123,0.0
125,0.0
126,0.0
128,0.0
131,0.0
133,0.0
136,0.0
139,0.0
142,0.0
144,0.0
145,0.0
147,0.0
150,0.0
153,0.0
164,0.0
167,0.0
170,0.0
172,0.0
178,0.0
186,0.0
189,0.0
194,0.0
197,0.0
203,0.0
211,0.0
214,0.0
217,0.0
219,0.0
222,0.0
236,0.0
242,0.0
247,0.0
258,0.0
261,0.0
264,0.0
267,0.0
269,0.0
272,0.0
275,0.0
286,0.0
289,0.0
295,0.0
300,0.0
303,0.0
311,0.0
317,0.0
320,0.0
328,0.0
331,0.0
345,0.0
348,0.0
351,0.0
353,0.0
356,0.0
367,0.0
370,0.0
376,0.0
381,0.0
384,0.0
392,0.0
395,0.0
401,0.0
404,0.0
409,0.0
412,0.0
426,0.0
429,0.0
434,0.0
437,0.0
448,0.0
451,0.0
459,0.0
462,0.0
470,0.0
473,0.0
475,0.0
478,0.0
481,0.0
484,0.0
492,0.0
495,0.0
503,0.0
506,0.0
514,0.0
517,0.0
531,0.0
533,0.0
539,0.0
542,0.0
545,0.0
553,0.0
556,0.0
561,0.0
564,0.0
567,0.0
570,0.0
578,0.0
581,0.0
600,0.0
603,0.0
608,0.0
611,0.0
617,0.0
625,0.0
628,0.0
630,0.0
633,0.0
636,0.0
647,0.0
650,0.0
653,0.0
658,0.0
659,0.0
661,0.0
667,0.0
675,0.0
681,0.0
683,0.0
686,0.0
700,0.0
703,0.0
708,0.0
711,0.0
717,0.0
725,0.0
728,0.0
736,0.0
739,0.0
750,0.0
753,0.0
756,0.0
761,0.0
764,0.0
770,0.0
778,0.0
781,0.0
786,0.0
789,0.0
792,0.0
795,0.0
803,0.0
806,0.0
809,0.0
817,0.0
820,0.0
828,0.0
831,0.0
839,0.0
861,0.0
863,0.0
866,0.0
869,0.0
872,0.0
883,0.0
894,0.0
916,0.0
919,0.0
927,0.0
930,0.0
933,0.0
936,0.0
944,0.0
947,0.0
952,0.0
955,0.0
958,0.0
966,0.0
969,0.0
974,0.0
977,0.0
983,0.0
991,0.0
994,0.0
999,0.0
1002,0.0
1019,0.0
1022,0.0
1025,0.0
1027,0.0
1030,0.0
1036,0.0
1041,0.0
1044,0.0
1049,0.0
1052,0.0
1055,0.0
1069,0.0
1078,0.0
1080,0.0
1083,0.0
1091,0.0
1094,0.0
1097,0.0
1100,0.0
1106,0.0
1108,0.0
1111,0.0
1125,0.0
1128,0.0
1139,0.0
1142,0.0
1153,0.0
1156,0.0
1167,0.0
1170,0.0
1184,0.0
1187,0.0
1190,0.0
1193,0.0
1198,0.0
1201,0.0
1215,0.0
1218,0.0
1221,0.0
1226,0.0
1229,0.0
1237,0.0
1240,0.0
1254,0.0
1257,0.0
1268,0.0
1271,0.0
1274,0.0
1285,0.0
1288,0.0
1291,0.0
1297,0.0
1302,0.0
1305,0.0
1319,0.0
1322,0.0
1325,0.0
1339,0.0
1342,0.0
1345,0.0
1353,0.0
1356,0.0
1367,0.0
1370,0.0
1373,0.0
1384,0.0
1390,0.0
1395,0.0
1398,0.0
1412,0.0
1418,0.0
1420,0.0
1421,0.0
1423,0.0
1437,0.0
1440,0.0
1446,0.0
1448,0.0
1451,0.0
1454,0.0
1462,0.0
1465,0.0
1470,0.0
1476,0.0
1484,0.0
1487,0.0
1490,0.0
1501,0.0
1506,0.0
1509,0.0
1512,0.0
1526,0.0
1529,0.0
1532,0.0
1537,0.0
1540,0.0
1551,0.0
1560,0.0
1565,0.0
1568,0.0
1571,0.0
1585,0.0
1588,0.0
1591,0.0
1594,0.0
1599,0.0
1602,0.0
1608,0.0
1613,0.0
1616,0.0
1626,0.0
1629,0.0
1632,0.0
1639,0.0
1642,0.0
1645,0.002686
1648,0.002686
1651,0.002686
1652,0.002686
1654,0.002686
1655,0.002686
1658,0.002686
1665,0.002686
1668,0.002686
1678,0.002686
1679,0.002686
1681,0.002686
1684,0.002686
1685,0.002686
1687,0.002686
1688,0.002686
1691,0.002686
1694,0.002686
1697,0.002686
1700,0.002686
1703,0.002686
1704,0.002686
1706,0.002686
1707,0.002686
1709,0.002686
1710,0.002686
1713,0.002686
1716,0.002686
1719,0.002686
1722,0.002686
1723,0.002686
1725,0.002686
1726,0.002686
1728,0.002686
1729,0.005371
1732,0.005371
1735,0.005371
1738,0.005371
1741,0.005371
1744,0.005371
1751,0.005371
1757,0.005371
1760,0.005371
1767,0.005371
1770,0.005371
1773,0.005371
1776,0.005371
1777,0.005371
1779,0.005371
1780,0.005371
1782,0.005371
1783,0.005371
1785,0.005371
1786,0.005371
1788,0.005371
1791,0.005371
1793,0.005371
1797,0.005371
1800,0.005371
1803,0.005371
1806,0.005371
1813,0.005371
1816,0.005371
1819,0.005371
1822,0.005371
1825,0.005371
1835,0.005371
1838,0.005371
1841,0.005371
1844,0.005371
1847,0.005371
1850,0.005371
1854,0.005371
1857,0.005371
1860,0.005371
1863,0.005371
1866,0.005371
1869,0.005371
1872,0.005371
1873,0.005371
1876,0.005371
1879,0.005371
1882,0.005371
1885,0.005371
1888,0.005371
1889,0.005371
1891,0.005371
1892,0.005371
1894,0.005371
1898,0.005371
1901,0.005371
1904,0.005371
1907,0.005371
1908,0.005371
1910,0.005371
1911,0.005371
1913,0.005371
1914,0.005371
1917,0.005371
1919,0.005371
1927,0.005371
1929,0.005371
1930,0.005371
1932,0.005371
1933,0.005371
1935,0.005371
1943,0.005371
1946,0.005371
1949,0.005371
1951,0.005371
1954,0.005371
1957,0.005371
1962,0.005371
1965,0.005371
