,LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6
928,0.311279,6.488037,0.421143,0.0,22.200178,284.269846,480.007074,329.648169,0.0,9e-06,1e-05,1.851839,0.311279,6.488037,0.421143,0.0,22.200163,284.269841,480.007013,331.500008,0.0,9e-06,1e-05,0.0,22.200178,284.269855,480.007084,331.500008,0.026022,0.028913,0.1,0.0,0.0,9e-06,1e-05,0.0,0.026022,0.028913,0.1,0.0,0.0,0.0,0.0,0.0,22.215534,284.284352,480.009507,329.648169,22.200178,284.269846,480.007074,0.0
929,0.311279,6.488037,0.421143,0.0,22.200178,284.269846,480.007084,329.648856,0.0,9e-06,0.0,1.851152,0.311279,6.494141,0.427246,0.0,22.200041,284.269706,480.006547,331.500008,0.0,9e-06,0.0,0.0,22.200178,284.269855,480.007084,331.500008,0.104087,0.11565,0.4,0.0,0.0,9e-06,0.0,0.0,0.104087,0.11565,0.4,0.0,0.0,0.0,0.0,0.0,22.215536,284.28435,480.009505,329.648856,22.200178,284.269846,480.007084,0.0
930,0.311279,6.488037,0.421143,0.0,22.200178,284.269865,480.007074,329.648169,0.0,1e-05,1e-05,1.851839,0.305176,6.47583,0.366211,0.0,22.199712,284.269339,480.00528,331.500008,0.0,1e-05,1e-05,0.0,22.200178,284.269855,480.007084,331.500008,0.234195,0.260213,0.9,0.0,0.0,1e-05,1e-05,0.0,0.234195,0.260554,0.9,0.0,0.0,0.0,0.0,0.0,22.215534,284.284352,480.009505,329.648169,22.200178,284.269865,480.007074,0.0
931,0.311279,6.488037,0.421143,0.0,22.200168,284.269846,480.007074,329.648169,1e-05,9e-06,1e-05,1.851839,0.231934,6.384277,0.054932,0.0,22.19907,284.268626,480.002813,331.500008,1e-05,9e-06,1e-05,0.0,22.200178,284.269855,480.007084,331.500008,0.416347,0.462601,1.6,0.0,1e-05,9e-06,1e-05,0.0,0.416347,0.462601,1.6,0.0,0.0,0.0,0.0,0.0,22.215518,284.284333,480.009453,329.648169,22.200168,284.269846,480.007074,0.0
932,0.231934,6.37207,0.018311,0.0,22.200168,284.269846,480.007055,329.648169,1e-05,9e-06,2.9e-05,1.851839,0.085449,6.170654,0.610352,0.0,22.198011,284.267451,479.998747,331.500008,1e-05,9e-06,2.9e-05,0.0,22.200178,284.269855,480.007084,331.500008,0.650542,0.722815,2.5,0.0,1e-05,9e-06,2.9e-05,0.0,0.650542,0.722815,2.499031,0.0,0.0,0.0,0.0,0.0,22.215441,284.284246,480.009162,329.648169,22.200168,284.269846,480.007055,0.0
933,0.231934,6.37207,0.018311,0.0,22.200109,284.269738,480.006918,329.648856,6.8e-05,0.000117,0.000166,1.851152,0.128174,5.883789,1.434326,0.0,22.196433,284.265697,479.99268,331.500008,6.8e-05,0.000117,0.000166,0.0,22.200178,284.269855,480.007084,331.500008,0.936781,1.040853,3.6,0.0,6.8e-05,0.000117,0.000166,0.0,0.93451,1.036963,3.594474,0.0,0.0,0.0,0.0,0.0,22.215224,284.283994,480.008255,329.648856,22.200109,284.269738,480.006918,0.0
934,0.128174,5.865479,1.483154,0.0,22.199943,284.269475,480.006381,329.648169,0.000227,0.000373,0.000668,1.851839,0.390625,5.578613,2.276611,0.0,22.19423,284.263249,479.984213,331.500008,0.000227,0.000373,0.000668,0.0,22.20017,284.269848,480.007048,331.500008,1.275062,1.416717,4.9,0.0,0.000227,0.000373,0.000668,0.0,1.267508,1.404277,4.877747,0.0,0.0,0.0,0.0,0.0,22.214783,284.283453,480.006268,329.648169,22.199943,284.269475,480.006381,0.0
935,0.128174,5.865479,1.483154,0.0,22.199514,284.268859,480.005023,329.648856,0.000588,0.000914,0.001757,1.851152,0.67749,5.267334,3.186035,0.0,22.191298,284.259991,479.972947,331.500008,0.000588,0.000914,0.001757,0.0,22.200102,284.269773,480.00678,331.500008,1.665388,1.850406,6.4,0.0,0.000588,0.000914,0.001757,0.0,1.645781,1.819947,6.341448,0.0,0.0,0.0,0.0,0.0,22.213994,284.282486,480.002778,329.648856,22.199514,284.268859,480.005023,0.0
936,0.689697,5.249023,3.24707,0.0,22.198703,284.267678,480.002377,329.648856,0.001173,0.001845,0.003536,1.851152,0.915527,4.992676,4.046631,0.0,22.187534,284.255809,479.95848,331.500008,0.001173,0.001845,0.003536,0.0,22.199877,284.269523,480.005913,331.500008,2.107756,2.34192,8.1,0.0,0.001173,0.001845,0.003536,0.0,2.068642,2.280427,7.982117,0.0,0.0,0.0,0.0,0.0,22.212704,284.280948,479.997327,329.648856,22.198703,284.267678,480.002377,0.0
937,0.689697,5.249023,3.24707,0.0,22.197326,284.265764,479.997357,329.648856,0.002065,0.003219,0.006689,1.851152,1.196289,4.760742,4.901123,0.0,22.182833,284.250585,479.940413,331.500008,0.002065,0.003219,0.006689,0.0,22.199391,284.268983,480.004047,331.500008,2.602168,2.891259,10.0,0.0,0.002065,0.003219,0.006689,0.0,2.533343,2.783954,9.777029,0.0,0.0,0.0,0.0,0.0,22.210834,284.278711,479.989497,329.648856,22.197326,284.265764,479.997357,0.0
938,1.208496,4.742432,4.949951,0.0,22.195363,284.262971,479.989447,329.648856,0.003177,0.005068,0.011333,1.851152,1.477051,4.608154,5.596924,0.0,22.17709,284.244205,479.918347,331.500008,0.003177,0.005068,0.011333,0.0,22.198541,284.268038,480.00078,331.500008,3.148624,3.498423,12.1,0.0,0.003177,0.005068,0.011333,0.0,3.042712,3.329499,11.722242,0.0,0.0,0.0,0.0,0.0,22.208281,284.275617,479.978806,329.648856,22.195363,284.262971,479.989447,0.0
939,1.208496,4.742432,4.949951,0.0,22.192561,284.259104,479.977768,329.648856,0.004662,0.00747,0.017946,1.851152,1.763916,4.473877,6.103516,0.0,22.170203,284.236553,479.89188,331.500008,0.004662,0.00747,0.017946,0.0,22.197222,284.266574,479.995713,331.500008,3.747122,4.163413,14.4,0.0,0.004662,0.00747,0.017946,0.0,3.591734,3.914405,13.801805,0.0,0.0,0.0,0.0,0.0,22.204945,284.271574,479.964759,329.648856,22.192561,284.259104,479.977768,0.0
940,1.78833,4.455566,6.14624,0.0,22.18885,284.254104,479.96183,329.648856,0.006482,0.010369,0.026616,1.851152,2.032471,4.345703,6.732178,0.0,22.162067,284.227513,479.860613,331.500008,0.006482,0.010369,0.026616,0.0,22.195332,284.264473,479.988447,331.500008,4.397665,4.886227,16.9,0.0,0.006482,0.010369,0.026616,0.0,4.181599,4.540584,16.012784,0.0,0.0,0.0,0.0,0.0,22.200717,284.266508,479.947148,329.648856,22.18885,284.254104,479.96183,0.0
941,1.78833,4.455566,6.14624,0.0,22.184084,284.24801,479.941088,329.648856,0.00868,0.01361,0.037492,1.851152,2.282715,4.241943,7.366943,0.0,22.152578,284.216969,479.824147,331.500008,0.00868,0.01361,0.037492,0.0,22.192764,284.26162,479.97858,331.500008,5.10025,5.666867,19.6,0.0,0.00868,0.01361,0.037492,0.0,4.810914,5.213193,18.350263,0.0,0.0,0.0,0.0,0.0,22.195492,284.260313,479.925691,329.648856,22.184084,284.24801,479.941088,0.0
942,2.301025,4.248047,7.415771,0.0,22.178137,284.240813,479.91557,329.648856,0.011279,0.017088,0.050143,1.851152,2.496338,4.144287,7.824707,0.0,22.141631,284.204807,479.78208,331.500008,0.011279,0.017088,0.050143,0.0,22.189416,284.2579,479.965713,331.500008,5.854879,6.505332,22.5,0.0,0.011279,0.017088,0.050143,0.0,5.478905,5.935749,20.828562,0.0,0.0,0.0,0.0,0.0,22.189159,284.252922,479.899998,329.648856,22.178137,284.240813,479.91557,0.0
943,2.301025,4.248047,7.415771,0.0,22.170969,284.232238,479.885287,329.648856,0.014214,0.020959,0.064159,1.851152,2.67334,4.02832,8.14209,0.0,22.129124,284.190909,479.734013,331.500008,0.014214,0.020959,0.064159,0.0,22.185183,284.253197,479.949447,331.500008,6.661551,7.401622,25.6,0.0,0.014214,0.020959,0.064159,0.0,6.187739,6.703003,23.461352,0.0,0.0,0.0,0.0,0.0,22.18162,284.244264,479.869733,329.648856,22.170969,284.232238,479.885287,0.0
944,2.685547,4.02832,8.166504,0.0,22.162482,284.222404,479.849916,329.648856,0.017479,0.024991,0.079464,1.851152,2.862549,3.985596,8.410645,0.0,22.11495,284.175162,479.679547,331.500008,0.017479,0.024991,0.079464,0.0,22.179961,284.247395,479.92938,331.500008,7.520267,8.355738,28.9,0.0,0.017479,0.024991,0.079464,0.0,6.937639,7.522714,26.251201,0.0,0.0,0.0,0.0,0.0,22.172804,284.234219,479.834652,329.648856,22.162482,284.222404,479.849916,0.0
945,2.685547,4.02832,8.166504,0.0,22.152541,284.211018,479.810141,329.648856,0.021106,0.029361,0.094973,1.851152,3.027344,3.80249,8.721924,0.0,22.099008,284.157448,479.61828,331.500008,0.021106,0.029361,0.094973,0.0,22.173647,284.240379,479.905113,331.500008,8.431025,9.367678,32.4,0.0,0.021106,0.029361,0.094973,0.0,7.727507,8.388973,29.23424,0.0,0.0,0.0,0.0,0.0,22.162627,284.222772,479.79451,329.648856,22.152541,284.211018,479.810141,0.0
946,3.027344,3.808594,8.746338,0.0,22.141096,284.198205,479.765229,329.648856,0.025039,0.033827,0.111018,1.851152,3.186035,3.68042,9.155273,0.0,22.081191,284.137653,479.549813,331.500008,0.025039,0.033827,0.111018,0.0,22.166135,284.232033,479.876247,331.500008,9.393828,10.437444,36.1,0.0,0.025039,0.033827,0.111018,0.0,8.559185,9.309863,32.399398,0.0,0.0,0.0,0.0,0.0,22.150998,284.209766,479.749107,329.648856,22.141096,284.198205,479.765229,0.0
947,3.027344,3.808594,8.746338,0.0,22.12801,284.183625,479.715053,329.648856,0.029312,0.038616,0.127327,1.851152,3.283691,3.55835,9.606934,0.0,22.061398,284.115659,479.473747,331.500008,0.029312,0.038616,0.127327,0.0,22.157322,284.222241,479.84238,331.500008,10.408673,11.565035,40.0,0.0,0.029312,0.038616,0.127327,0.0,9.431593,10.277837,35.755758,0.0,0.0,0.0,0.0,0.0,22.13781,284.19513,479.698145,329.648856,22.12801,284.183625,479.715053,0.0
948,3.283691,3.55835,9.625244,0.0,22.113244,284.167297,479.659115,329.648856,0.03386,0.043591,0.143998,1.851152,3.417969,3.381348,9.942627,0.0,22.039522,284.091354,479.38968,331.500008,0.03386,0.043591,0.143998,0.0,22.147104,284.210888,479.803113,331.500008,11.475562,12.750451,44.1,0.0,0.03386,0.043591,0.143998,0.0,10.346888,11.297409,39.30006,0.0,0.0,0.0,0.0,0.0,22.123016,284.178792,479.641145,329.648856,22.113244,284.167297,479.659115,0.0
949,3.283691,3.55835,9.625244,0.0,22.096652,284.149172,479.596898,329.648856,0.038725,0.048686,0.161148,1.851152,3.527832,3.240967,10.430908,0.0,22.015461,284.064619,479.297213,331.500008,0.038725,0.048686,0.161148,0.0,22.135378,284.197858,479.758047,331.500008,12.594495,13.993692,48.4,0.0,0.038725,0.048686,0.161148,0.0,11.303656,12.370817,43.028396,0.0,0.0,0.0,0.0,0.0,22.106518,284.160616,479.577853,329.648856,22.096652,284.149172,479.596898,0.0
950,3.527832,3.210449,10.473633,0.0,22.078518,284.129143,479.528129,329.648856,0.043519,0.053893,0.178651,1.851152,3.625488,3.094482,11.004639,0.0,21.989109,284.035341,479.195947,331.500008,0.043519,0.053893,0.178651,0.0,22.122037,284.183036,479.70678,331.500008,13.765471,15.294759,52.9,0.0,0.043519,0.053893,0.178651,0.0,12.314827,13.498324,46.944964,0.0,0.0,0.0,0.0,0.0,22.088234,284.140514,479.507952,329.648856,22.078518,284.129143,479.528129,0.0
951,3.527832,3.210449,10.473633,0.0,22.058615,284.10715,479.45227,329.648856,0.048364,0.059155,0.196644,1.851152,3.765869,2.905273,11.602783,0.0,21.960364,284.003402,479.08548,331.500008,0.048364,0.059155,0.196644,0.0,22.106979,284.166305,479.648913,331.500008,14.98849,16.65365,57.6,0.0,0.048364,0.059155,0.196644,0.0,13.376373,14.68183,51.045203,0.0,0.0,0.0,0.0,0.0,22.068122,284.118394,479.431044,329.648856,22.058615,284.10715,479.45227,0.0
952,3.778076,2.893066,11.627197,0.0,22.036896,284.083107,479.368939,329.648856,0.053203,0.064443,0.215107,1.851152,3.894043,2.789307,12.06665,0.0,21.929121,283.968688,478.965413,331.500008,0.053203,0.064443,0.215107,0.0,22.090099,284.14755,479.584047,331.500008,16.263552,18.070367,62.5,0.0,0.053203,0.064443,0.215107,0.0,14.490123,15.922271,55.329763,0.0,0.0,0.0,0.0,0.0,22.046089,284.094114,479.34668,329.648856,22.036896,284.083107,479.368939,0.0
953,3.778076,2.893066,11.627197,0.0,22.013186,284.056848,479.277855,329.648169,0.058109,0.069808,0.233925,1.851839,4.101562,2.679443,12.506104,0.0,21.895275,283.931082,478.835347,331.500008,0.058109,0.069808,0.233925,0.0,22.071294,284.126656,479.51178,331.500008,17.590658,19.544909,67.6,0.0,0.058109,0.069808,0.233925,0.0,15.653697,17.217966,59.802516,0.0,0.0,0.0,0.0,0.0,22.022077,284.067566,479.254466,329.648169,22.013186,284.056848,479.277855,0.0
954,4.11377,2.667236,12.548828,0.0,21.987424,284.028234,479.178646,329.648856,0.063036,0.075272,0.253067,1.851152,4.309082,2.496338,13.092041,0.0,21.858724,283.890469,478.69488,331.500008,0.063036,0.075272,0.253067,0.0,22.05046,284.103507,479.431713,331.500008,18.969807,21.077276,72.9,0.0,0.063036,0.075272,0.253067,0.0,16.868612,18.568203,64.464435,0.0,0.0,0.0,0.0,0.0,21.995978,284.038672,479.154114,329.648856,21.987424,284.028234,479.178646,0.0
955,4.11377,2.667236,12.548828,0.0,21.959533,283.997141,479.070932,329.647482,0.067958,0.080846,0.272515,1.852526,4.528809,2.325439,13.665771,0.0,21.819361,283.846734,478.543613,331.500008,0.067958,0.080846,0.272515,0.0,22.027491,284.077987,479.343447,331.500008,20.401,22.667468,78.4,0.0,0.067958,0.080846,0.272515,0.0,18.135732,19.972604,69.316169,0.0,0.0,0.0,0.0,0.0,21.967699,284.007322,479.04527,329.647482,21.959533,283.997141,479.070932,0.0
956,4.553223,2.307129,13.702393,0.0,21.929348,283.963459,478.954213,329.648169,0.072937,0.086521,0.292367,1.851839,4.754639,2.124023,14.196777,0.0,21.777085,283.799761,478.381147,331.500008,0.072937,0.086521,0.292367,0.0,22.002285,284.04998,479.24658,331.500008,21.884236,24.315486,84.1,0.0,0.072937,0.086521,0.292367,0.0,19.452991,21.431452,74.35443,0.0,0.0,0.0,0.0,0.0,21.937122,283.97341,478.927489,329.648169,21.929348,283.963459,478.954213,0.0
