,CURRENT|6
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
4207,0.984375
4208,0.953613
4209,0.95874
4210,0.938232
4211,0.933105
4212,0.897217
4213,0.876709
4214,0.907471
4215,0.897217
4216,0.902344
4217,0.902344
4218,0.907471
4219,0.938232
4220,0.917725
4221,0.89209
4222,0.89209
4223,0.876709
4224,0.881836
4225,0.845947
4226,0.835693
4227,0.856201
4228,0.861328
4229,0.876709
4230,0.881836
4231,0.897217
4232,0.943359
4233,0.933105
4234,0.917725
4235,0.922852
4236,0.912598
4237,0.922852
4238,0.897217
4239,0.886963
4240,0.902344
4241,0.912598
4242,0.922852
4243,0.927979
4244,0.943359
4245,0.999756
4246,0.989502
4247,0.984375
4248,0.984375
4249,0.979248
4250,0.994629
4251,0.963867
4252,0.953613
4253,0.95874
4254,0.95874
4255,0.968994
4256,0.968994
4257,0.979248
4258,1.020264
4259,1.01001
4260,1.01001
4261,1.01001
4262,0.994629
4263,1.020264
4264,0.994629
4265,0.984375
4266,0.984375
4267,0.984375
4268,0.994629
4269,0.989502
4270,0.999756
4271,1.040771
4272,1.025391
4273,1.030518
4274,1.020264
4275,1.004883
4276,1.035645
4277,0.999756
4278,0.999756
4279,0.994629
4280,1.004883
4281,1.015137
4282,1.015137
4283,1.025391
4284,1.056152
4285,1.045898
4286,1.056152
4287,1.040771
4288,1.030518
4289,1.051025
4290,1.015137
4291,1.020264
4292,0.999756
4293,1.01001
4294,1.025391
4295,1.020264
4296,1.035645
4297,1.061279
4298,1.056152
4299,1.066406
4300,1.051025
4301,1.040771
4302,1.061279
4303,1.020264
4304,1.025391
4305,1.01001
4306,1.015137
4307,1.030518
4308,1.025391
4309,1.040771
4310,1.056152
4311,1.061279
4312,1.07666
4313,1.061279
4314,1.045898
4315,1.061279
4316,1.030518
4317,1.040771
4318,1.020264
4319,1.025391
4320,1.045898
4321,1.035645
4322,1.051025
4323,1.066406
4324,1.071533
4325,1.081787
4326,1.061279
4327,1.056152
4328,1.071533
4329,1.030518
4330,1.040771
4331,1.025391
4332,1.030518
4333,1.051025
4334,1.040771
4335,1.061279
4336,1.071533
4337,1.07666
4338,1.097168
4339,1.07666
4340,1.071533
4341,1.081787
4342,1.045898
4343,1.056152
4344,1.035645
4345,1.040771
4346,1.056152
4347,1.040771
4348,1.066406
4349,1.071533
4350,1.081787
4351,1.102295
4352,1.07666
4353,1.081787
4354,1.081787
4355,1.051025
4356,1.066406
4357,1.040771
4358,1.045898
4359,1.056152
4360,1.045898
4361,1.07666
4362,1.081787
4363,1.092041
4364,1.107422
4365,1.07666
4366,1.081787
4367,1.086914
4368,1.056152
4369,1.07666
4370,1.051025
5622,1.148438
5623,1.163818
5624,1.174072
5625,1.168945
5626,1.199707
5627,1.199707
5628,1.225342
5629,1.225342
5630,1.184326
5631,1.215088
5632,1.199707
5633,1.174072
5634,1.174072
5635,1.143311
5636,1.138184
5637,1.133057
5638,1.117676
5639,1.12793
5640,1.107422
5641,1.117676
5642,1.092041
5643,1.045898
5644,1.051025
5645,1.025391
