,CURRENT|6
104,0.0
114,0.0
115,0.0
125,0.0
128,0.0
132,0.0
136,0.0
148,0.0
151,0.0
161,0.0
163,0.0
178,0.0
203,0.0
207,0.0
215,0.0
221,0.0
227,0.0
237,0.0
248,0.0
255,0.0
258,0.0
259,0.0
287,0.0
292,0.0
293,0.0
294,0.0
297,0.0
342,0.0
349,0.0
358,0.0
361,0.0
362,0.0
371,0.0
372,0.0
376,0.0
380,0.0
390,0.0
399,0.0
400,0.0
404,0.0
410,0.0
416,0.0
417,0.0
420,0.0
429,0.0
434,0.0
440,0.0
470,0.0
471,0.0
479,0.0
484,0.0
493,0.0
494,0.0
495,0.0
496,0.0
499,0.0
502,0.0
510,0.0
512,0.0
513,0.0
514,0.0
515,0.0
523,0.0
545,0.0
563,0.0
570,0.0
573,0.0
576,0.0
578,0.0
588,0.0
613,0.0
629,0.0
630,0.0
653,0.0
655,0.0
665,0.0
666,0.0
673,0.0
680,0.0
692,0.0
700,0.0
702,0.0
704,0.0
712,0.0
713,0.0
721,0.0
723,0.0
733,0.0
734,0.0
742,0.0
761,0.0
767,0.0
777,0.0
784,0.0
786,0.0
787,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
