column,abs_mean,abs_no_of_peaks_1x,abs_two_times_mean,abs_no_of_peaks_2x,Num_Peaks_Lag100_Inf0,Num_Peaks_Lag100_Inf0.5,Num_Peaks_Lag100_Inf0.9,Num_Peaks_Lag500_Inf0,Num_Peaks_Lag500_Inf0.5,Num_Peaks_Lag500_Inf0.9,Num_Peaks_Lag1000_Inf0,Num_Peaks_Lag1000_Inf0.5,Num_Peaks_Lag1000_Inf0.9,Num_Peaks_Lag5000_Inf0,Num_Peaks_Lag5000_Inf0.5,Num_Peaks_Lag5000_Inf0.9,Num_Peaks_Lag10000_Inf0,Num_Peaks_Lag10000_Inf0.5,Num_Peaks_Lag10000_Inf0.9,Num_Peaks_2t_Lag100_Inf0,Num_Peaks_2t_Lag100_Inf0.5,Num_Peaks_2t_Lag100_Inf0.9,Num_Peaks_2t_Lag500_Inf0,Num_Peaks_2t_Lag500_Inf0.5,Num_Peaks_2t_Lag500_Inf0.9,Num_Peaks_2t_Lag1000_Inf0,Num_Peaks_2t_Lag1000_Inf0.5,Num_Peaks_2t_Lag1000_Inf0.9,Num_Peaks_2t_Lag5000_Inf0,Num_Peaks_2t_Lag5000_Inf0.5,Num_Peaks_2t_Lag5000_Inf0.9,Num_Peaks_2t_Lag10000_Inf0,Num_Peaks_2t_Lag10000_Inf0.5,Num_Peaks_2t_Lag10000_Inf0.9
CURRENT|6,1.505,21299,3.01,1201,43769.0,17171.0,14611.0,43769.0,12186.0,11676.0,43769.0,10182.0,10049.0,31825.0,4219.0,4213.0,27760.0,5908.0,5897.0,43769.0,1325.0,1240.0,43769.0,3307.0,3208.0,43769.0,3616.0,3584.0,3689.0,2012.0,2011.0,2687.0,1864.0,1862.0
LOAD|1,3.722,17814,7.444,3484,41655.0,329.0,268.0,41245.0,693.0,640.0,41100.0,774.0,735.0,78.0,66.0,54.0,46.0,42.0,42.0,41655.0,20.0,9.0,605.0,85.0,75.0,612.0,119.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
LOAD|2,3.453,18088,6.906,4668,43314.0,511.0,422.0,43319.0,1248.0,1157.0,43281.0,1263.0,1204.0,1208.0,400.0,394.0,992.0,518.0,509.0,41687.0,51.0,35.0,305.0,116.0,108.0,345.0,161.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0
LOAD|3,24.296,19016,48.592,92,6.0,1.0,1.0,59.0,3.0,3.0,82.0,9.0,8.0,0.0,0.0,0.0,30.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOAD|6,5.338,21328,10.676,1170,43811.0,377.0,263.0,43811.0,1126.0,1089.0,43811.0,1273.0,1244.0,432.0,247.0,246.0,550.0,376.0,376.0,43811.0,55.0,37.0,43811.0,142.0,107.0,43811.0,318.0,290.0,0.0,0.0,0.0,40.0,35.0,35.0
ENC_POS|1,353.006,7300,706.012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|2,307.639,8780,615.278,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|3,324.801,39109,649.602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_POS|6,489010.195,22189,978020.39,6074,43455.0,11.0,11.0,43429.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43455.0,11.0,11.0,43429.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRL_DIFF2|1,0.036,10724,0.072,462,44255.0,44745.0,44517.0,44942.0,44352.0,44207.0,44284.0,43505.0,43428.0,40456.0,40049.0,40049.0,35313.0,33615.0,33608.0,44255.0,44079.0,43655.0,44896.0,43693.0,43415.0,44283.0,42562.0,42384.0,40435.0,39554.0,39559.0,35145.0,31418.0,31395.0
CTRL_DIFF2|2,0.031,15403,0.062,461,45054.0,44876.0,44709.0,44969.0,44579.0,44460.0,44446.0,44014.0,43934.0,40437.0,40223.0,40224.0,35379.0,35295.0,35295.0,45051.0,44382.0,44031.0,44969.0,44178.0,43937.0,44415.0,43535.0,43372.0,40414.0,39997.0,39996.0,35287.0,35116.0,35116.0
CTRL_DIFF2|3,0.028,953,0.056,902,44105.0,44990.0,44707.0,44969.0,44561.0,44327.0,44469.0,44019.0,43831.0,40469.0,40112.0,39978.0,35406.0,35141.0,35049.0,44105.0,44600.0,44013.0,44964.0,44121.0,43665.0,44469.0,43615.0,43226.0,40469.0,39753.0,39473.0,35326.0,34787.0,34607.0
CTRL_DIFF2|6,56.582,30983,113.164,0,43461.0,11.0,11.0,43435.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43461.0,11.0,11.0,43435.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORQUE|1,0.917,17865,1.834,3475,45327.0,27955.0,21890.0,44654.0,24512.0,20454.0,43921.0,23703.0,21061.0,36021.0,19721.0,18660.0,26068.0,14743.0,13988.0,42648.0,5823.0,3885.0,42108.0,6510.0,5096.0,41931.0,7127.0,5949.0,12571.0,4621.0,4219.0,7779.0,3427.0,3250.0
TORQUE|2,0.851,18116,1.702,4712,45177.0,28545.0,23891.0,44865.0,25883.0,23676.0,44332.0,25567.0,24216.0,34534.0,17539.0,17117.0,27454.0,13744.0,13461.0,45164.0,9808.0,6757.0,44774.0,9136.0,7895.0,43949.0,8883.0,8184.0,13488.0,5515.0,5327.0,4633.0,3432.0,3330.0
TORQUE|3,5.988,19070,11.976,93,43770.0,104.0,68.0,43710.0,222.0,188.0,1099.0,172.0,165.0,148.0,80.0,80.0,173.0,90.0,90.0,41620.0,21.0,11.0,240.0,34.0,28.0,192.0,25.0,23.0,73.0,48.0,48.0,92.0,63.0,63.0
TORQUE|6,3.079,21967,6.158,1144,43788.0,1335.0,1239.0,43788.0,3287.0,3204.0,43788.0,3580.0,3550.0,2395.0,1757.0,1752.0,2142.0,1739.0,1739.0,43788.0,186.0,128.0,43788.0,888.0,845.0,43788.0,980.0,956.0,80.0,68.0,68.0,840.0,360.0,359.0
DES_POS|1,352.902,7309,705.804,0,41716.0,9.0,9.0,41716.0,10.0,7.0,41716.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,41716.0,9.0,9.0,41716.0,7.0,7.0,41716.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
DES_POS|2,307.552,8818,615.104,0,41716.0,9.0,9.0,41716.0,12.0,8.0,41716.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,41716.0,9.0,9.0,41716.0,8.0,8.0,41716.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
DES_POS|3,324.889,39109,649.778,0,41928.0,3.0,3.0,41928.0,6.0,3.0,41928.0,6.0,3.0,2287.0,3.0,2.0,2287.0,4.0,3.0,41928.0,3.0,3.0,41928.0,3.0,3.0,41928.0,3.0,3.0,2287.0,2.0,1.0,2287.0,2.0,2.0
DES_POS|6,489428.728,22189,978857.456,6060,41203.0,2.0,2.0,41203.0,2.0,2.0,41203.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,41203.0,2.0,2.0,41203.0,2.0,2.0,41203.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
