Principal Component,Explained Variance,Top Features
PC1,0.06192167246499867,"TORQUE|6, VEL_FFW|3, CMD_SPEED|3, TORQUE|3"
PC2,0.10004282492993403,"TORQUE|6, VEL_FFW|6, CMD_SPEED|6, CTRL_DIFF2|2"
PC3,0.052329012938736034,"DES_POS|1, ENC1_POS|1, ENC_POS|1, ENC2_POS|1"
PC4,0.07597813450504681,"TORQUE|1, CTRL_DIFF2|1, CTRL_DIFF|1, CONT_DEV|1"
PC5,0.08695503095445374,"CTRL_DIFF2|3, CTRL_DIFF|3, CONT_DEV|3, CTRL_DIFF2|1"
PC6,0.07635128988424877,"VEL_FFW|2, CMD_SPEED|2, VEL_FFW|1, CMD_SPEED|1"
PC7,0.028139328996743086,"LOAD|6, CMD_SPEED|3, VEL_FFW|3, LOAD|1"
PC8,0.013342685266660853,"CTRL_POS|6, ENC_POS|6, ENC1_POS|6, DES_POS|6"
PC9,0.053349653448657726,"TORQUE|1, DES_POS|2, CTRL_POS|2, ENC1_POS|2"
PC10,0.03793157837298471,"LOAD|6, CTRL_DIFF2|6, CMD_SPEED|1, VEL_FFW|1"
