Principal Component,Explained Variance,Top Features
PC1,0.2300304118189341,"ENC_POS|3, ENC2_POS|3, ENC1_POS|3, CTRL_POS|3"
PC2,0.07181717042886074,"TORQUE|6, ENC_POS|6, ENC1_POS|6, CTRL_POS|6"
PC3,0.05465503975292402,"TORQUE|3, LOAD|2, LOAD|3, CTRL_DIFF|3"
PC4,0.1115607766823009,"VEL_FFW|1, CMD_SPEED|1, VEL_FFW|3, CMD_SPEED|3"
PC5,0.014829217800557067,"CTRL_DIFF2|2, CMD_SPEED|2, VEL_FFW|2, CTRL_DIFF2|1"
PC6,0.09619174988329864,"CTRL_DIFF|1, TORQUE_FFW|2, TORQUE_FFW|1, CTRL_DIFF|2"
PC7,0.019437300688116298,"CTRL_DIFF|6, CONT_DEV|6, TORQUE|2, TORQUE|1"
PC8,0.02251621727850034,"CONT_DEV|6, CTRL_DIFF|6, TORQUE|2, LOAD|2"
PC9,0.008188136104144325,"LOAD|6, LOAD|1, CONT_DEV|1, CONT_DEV|6"
PC10,0.005818435361714844,"LOAD|6, TORQUE_FFW|3, TORQUE_FFW|6, CTRL_DIFF|3"
