Principal Component,Explained Variance,Top Features
PC1,0.25561317156223495,"ENC_POS|3, ENC2_POS|3, ENC1_POS|3, CTRL_POS|3"
PC2,0.060660257385096665,"TORQUE|6, TORQUE_FFW|6, ENC_POS|6, ENC1_POS|6"
PC3,0.12286522536478958,"VEL_FFW|2, CMD_SPEED|2, CTRL_DIFF2|2, VEL_FFW|1"
PC4,0.05137893363461482,"ENC_POS|6, ENC1_POS|6, CTRL_POS|6, DES_POS|6"
PC5,0.023409738493197014,"CTRL_DIFF|1, CTRL_DIFF|2, TORQUE_FFW|1, TORQUE_FFW|2"
PC6,0.0613614628214908,"TORQUE|3, TORQUE_FFW|1, TORQUE_FFW|2, LOAD|3"
PC7,0.01569798429494295,"TORQUE_FFW|3, TORQUE|2, CONT_DEV|6, CTRL_DIFF|6"
PC8,0.025606209027785404,"CONT_DEV|3, CTRL_DIFF|3, TORQUE|2, LOAD|3"
PC9,0.01474647737213462,"LOAD|2, CTRL_DIFF|6, CONT_DEV|6, TORQUE|1"
PC10,0.013634923850195211,"CONT_DEV|6, CTRL_DIFF|6, CONT_DEV|2, TORQUE|1"
