Principal Component,Explained Variance,Top Features
PC1,0.22082146226751348,"CTRL_POS|3, ENC_POS|3, ENC2_POS|3, ENC1_POS|3"
PC2,0.20003252229966678,"VEL_FFW|6, CMD_SPEED|6, CTRL_DIFF|2, CONT_DEV|2"
PC3,0.1520397472198739,"DES_POS|1, ENC1_POS|1, ENC_POS|1, ENC2_POS|1"
PC4,0.10580413288668936,"CMD_SPEED|1, VEL_FFW|1, DES_POS|2, CTRL_POS|2"
PC5,0.07261916922923599,"CMD_SPEED|3, VEL_FFW|3, CMD_SPEED|2, VEL_FFW|2"
PC6,0.06510954362530423,"CTRL_POS|6, ENC_POS|6, ENC1_POS|6, DES_POS|6"
PC7,0.050648668562194764,"LOAD|3, TORQUE|6, LOAD|6, VEL_FFW|3"
PC8,0.02928860370999468,"LOAD|3, TORQUE|3, CTRL_DIFF2|3, CTRL_DIFF|3"
PC9,0.02386522759900564,"LOAD|6, TORQUE|6, LOAD|1, TORQUE|1"
PC10,0.021042743334348624,"TORQUE|2, LOAD|2, VEL_FFW|1, CMD_SPEED|1"
PC11,0.01776375304079147,"LOAD|6, TORQUE|6, TORQUE|1, LOAD|1"
PC12,0.013605219313637062,"LOAD|1, TORQUE|6, LOAD|6, TORQUE|1"
PC13,0.010882842399120614,"TORQUE|6, LOAD|3, LOAD|1, LOAD|6"
PC14,0.004861462155854476,"LOAD|3, TORQUE|1, CMD_SPEED|3, VEL_FFW|3"
PC15,0.00404604042733027,"VEL_FFW|6, CMD_SPEED|6, LOAD|3, TORQUE|3"
