Principal Component,Explained Variance,Top Features
PC1,0.36594223010506477,"ENC_POS|3, ENC2_POS|3, ENC1_POS|3, CTRL_POS|3"
PC2,0.17409514836622725,"VEL_FFW|2, CMD_SPEED|2, VEL_FFW|1, CMD_SPEED|1"
PC3,0.1309676549590147,"CTRL_DIFF|1, TORQUE_FFW|1, TORQUE_FFW|2, CTRL_DIFF|2"
PC4,0.07101942301425739,"ENC_POS|6, ENC1_POS|6, CTRL_POS|6, DES_POS|6"
PC5,0.040988514393616546,"LOAD|3, TORQUE|3, CTRL_DIFF|3, TORQUE_FFW|3"
PC6,0.035623734251886564,"TORQUE|6, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|6"
PC7,0.032964615777575694,"CONT_DEV|6, CTRL_DIFF|6, TORQUE_FFW|6, TORQUE|6"
PC8,0.024923842033103487,"LOAD|2, LOAD|6, TORQUE|2, TORQUE|1"
PC9,0.024195903256613874,"LOAD|1, TORQUE|1, TORQUE_FFW|6, LOAD|6"
PC10,0.018972502354840666,"TORQUE|2, TORQUE|1, CONT_DEV|2, CONT_DEV|3"
PC11,0.014870576347443126,"CONT_DEV|2, LOAD|2, TORQUE|2, TORQUE_FFW|2"
PC12,0.012622608820702966,"LOAD|2, CONT_DEV|1, LOAD|1, CONT_DEV|2"
PC13,0.010998511257555806,"CONT_DEV|1, LOAD|1, TORQUE_FFW|2, TORQUE|1"
PC14,0.010210381218611456,"LOAD|6, LOAD|2, CONT_DEV|3, LOAD|1"
PC15,0.008274588880815364,"LOAD|6, TORQUE|2, CTRL_DIFF2|6, CMD_SPEED|6"
PC16,0.007615737773974959,"CONT_DEV|3, LOAD|1, CONT_DEV|1, TORQUE_FFW|3"
PC17,0.004922494091872064,"CONT_DEV|3, LOAD|3, TORQUE|6, CTRL_DIFF2|3"
PC18,0.003979251401260178,"TORQUE|6, TORQUE_FFW|6, CONT_DEV|3, LOAD|1"
