Principal Component,Explained Variance,Top Features
PC1,0.24725803159168053,"CTRL_POS|3, ENC_POS|3, ENC2_POS|3, ENC1_POS|3"
PC2,0.19923852218737254,"CTRL_DIFF|2, CONT_DEV|2, CTRL_DIFF2|2, CTRL_DIFF2|1"
PC3,0.14495603425681328,"DES_POS|1, ENC1_POS|1, ENC_POS|1, ENC2_POS|1"
PC4,0.10447520672154767,"CMD_SPEED|1, VEL_FFW|1, TORQUE|1, DES_POS|2"
PC5,0.06454000578168141,"CMD_SPEED|3, VEL_FFW|3, CMD_SPEED|2, VEL_FFW|2"
PC6,0.05310963690676272,"LOAD|6, CTRL_POS|6, ENC_POS|6, ENC1_POS|6"
PC7,0.04633143237917363,"TORQUE|6, LOAD|3, CTRL_POS|6, ENC1_POS|6"
PC8,0.0282468054904299,"LOAD|3, TORQUE|3, LOAD|1, CMD_SPEED|3"
PC9,0.027538769843034175,"LOAD|1, TORQUE|1, LOAD|6, CMD_SPEED|1"
PC10,0.022445293104073255,"LOAD|1, TORQUE|2, LOAD|2, CMD_SPEED|2"
PC11,0.016621767568346255,"LOAD|6, LOAD|1, TORQUE|6, TORQUE|1"
PC12,0.012179283148381667,"TORQUE|6, TORQUE|1, LOAD|1, TORQUE|2"
PC13,0.01108472128995224,"TORQUE|6, LOAD|3, LOAD|6, LOAD|1"
PC14,0.007723695539199971,"CTRL_DIFF|2, CONT_DEV|2, CTRL_DIFF2|2, CTRL_DIFF2|1"
PC15,0.0052354677854422145,"LOAD|3, CMD_SPEED|2, VEL_FFW|2, TORQUE|1"
