,LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6
PC1,0.01979154119369451,-0.10443182801493356,0.09208742128838412,-0.011925864774598893,0.10499007571519092,-0.14378985250569098,0.22637970524812334,-0.12234093990017662,0.17960422958225236,0.1795754240112952,0.1678325292302208,0.16329655285445896,0.11725612006577305,0.10391627296790472,-0.12009972011582092,-0.00010561776274978761,0.1045121055123223,-0.14413235468895477,0.2255033744652178,-0.12234482991393984,0.17960422958225236,0.1795754240112952,0.16783252923022082,0.0,0.10507423628407872,-0.1437064945000501,0.22669635150389758,-0.12233976570647472,-0.15057581511152449,-0.1314964664685869,-0.08947442260930884,-0.19014651848451383,0.17960422958225236,0.1795754240112952,0.16783252923022082,0.0,-0.1426979528067247,-0.12288900046430365,-0.07969319287541334,-0.19014651848451383,0.0,0.0,0.0,0.0,0.10494780681944717,-0.14380348168459692,0.22636166847115335,-0.12234093990017661,0.10499007571519064,-0.14378985250569068,0.22637970524812326,0.0
PC2,0.09876846389918212,-0.17769240497332417,-0.017522167082107076,-0.016397119606587747,0.06806555902919781,0.16338459875502,-0.1326294999585748,0.1795747449479576,0.20696555945782982,0.2086331310311496,0.17620745924261494,-0.14109851033984797,0.005121155525749785,0.17693204957171732,-0.18470235454257486,-0.028378001552529553,0.06811177569831085,0.1630302185143788,-0.13333962169925068,0.17957852864335408,0.2069655594578298,0.20863313103114964,0.17620745924261494,-0.0,0.06816345252865516,0.16347655182369963,-0.13219400117251623,0.17957371969675306,-0.021483016218023607,-0.13899366945630456,-0.08869587756131501,0.21865513630554678,0.2069655594578298,0.20863313103114964,0.17620745924261494,-0.0,-0.010643021204098047,-0.12880574884931495,-0.07832191757487546,0.21865513630554678,-0.0,-0.0,-0.0,-0.0,0.06810269416752875,0.1633650338047983,-0.13265661448095967,0.1795747449479576,0.0680655590291978,0.16338459875501998,-0.13262949995857487,-0.0
PC3,-0.002520850311569922,-0.21169153024343187,0.03663380722334948,0.017966757305657353,0.31966339340485,0.07074084106973011,0.11892147826041517,0.09739807319411692,-0.13326338366605706,-0.13501428654042694,-0.13375657231111673,0.04106810929889976,-0.14424890167766521,0.2116852730091184,0.14690826372521676,0.06335279037255052,0.319840206237815,0.0702181764330385,0.11938234180632838,0.09739765423893251,-0.13326338366605697,-0.13501428654042694,-0.1337565723111167,-9.408131779524529e-49,0.3195940973205862,0.07067872142773321,0.11858582015925853,0.09739834997605179,0.06829805923937017,-0.12817985537802876,0.06260376536222387,0.04200755615472566,-0.13326338366605697,-0.13501428654042694,-0.1337565723111167,0.0,0.06194922305469311,-0.13772508184220714,0.05463483291369787,0.04200755615472566,0.0,0.0,0.0,0.0,0.31970717950619837,0.07069202727679316,0.11894263812313192,0.09739807319411704,0.3196633934048499,0.0707408410697301,0.1189214782604153,0.0
PC4,0.07048210125214342,-0.05696820350771192,0.0818138486380865,0.03789281056047494,0.05078283672257616,-0.2698460977757102,-0.1783232073693936,0.05327662719233342,-0.06245475907119977,-0.06771006218675363,-0.09136685976631209,-0.10493492520087447,0.23137938458413368,0.056239492564998765,0.06486840552839239,-0.01456411535238041,0.04964702677442705,-0.2705622317952533,-0.18043650168703665,0.053280646318227286,-0.06245475907119984,-0.06771006218675363,-0.09136685976631213,-5.473822126268817e-48,0.050752066733999276,-0.2698727295528045,-0.17848025823689018,0.053275876313226826,-0.277651466738695,-0.19545030029287286,-0.12845276765212357,0.14209322582453504,-0.06245475907119984,-0.06771006218675363,-0.09136685976631213,0.0,-0.2842132661321597,-0.20201176009308355,-0.13731053629999682,0.14209322582453504,0.0,0.0,0.0,0.0,0.050640531745833925,-0.26985975148804686,-0.1783088748148116,0.05327662719233344,0.05078283672257598,-0.2698460977757101,-0.17832320736939358,0.0
PC5,0.25298429208991696,0.07952278008591762,0.11314665098137333,-0.09263941284210964,-0.11983522778293842,0.17750317548766453,0.0855474975373896,0.026114267480330633,-0.09984579099185303,-0.09360607234531187,-0.027582812983159805,0.10182657386022746,-0.10685196660058996,-0.08033270969823265,0.08174071021677023,-0.10769671375499403,-0.12082250177224427,0.17655427838547938,0.080040962624454,0.026110400755184,-0.09984579099185309,-0.09360607234531185,-0.02758281298315979,2.802596928649634e-45,-0.11988095547284189,0.1774582051919659,0.08546129705660155,0.026114984872700066,-0.23181437493218057,-0.2542257784220139,-0.3657886348696404,-0.08986339398513453,-0.09984579099185309,-0.09360607234531186,-0.027582812983159778,-0.0,-0.23984906415362298,-0.26308144448938253,-0.3749839422388156,-0.08986339398513454,-0.0,-0.0,-0.0,-0.0,-0.11977872832819271,0.17751517805618133,0.08556086064544706,0.026114267480330598,-0.11983522778293855,0.1775031754876644,0.08554749753738955,-0.0
PC6,-0.03458922399339608,-0.024645539437779154,0.030837503129653297,0.08821267352486273,0.09268850129104088,0.12062685029249824,-0.10690291336809281,-0.401549528180329,0.01863756430118485,0.01660134438850394,-0.05022519010542792,-0.3622565635915702,0.008612837217327196,0.02403300373499957,0.05694527173046664,-0.035369211487796384,0.09260244870131958,0.1202964034312431,-0.1076415430983318,-0.40154036422577843,0.018637564301184767,0.016601344388504087,-0.0502251901054275,1.1210387714598537e-43,0.09269582551128733,0.12063257363396311,-0.10698677527593194,-0.4015520357625935,-0.023592148988832422,-0.09755440437532335,-0.04158484792227009,0.029498017396357205,0.018637564301184767,0.016601344388504087,-0.0502251901054275,-0.0,-0.02286672374239032,-0.09791398910347429,-0.04587516548500221,0.029498017396357205,-0.0,-0.0,-0.0,-0.0,0.09267141925074596,0.12063747867695528,-0.10689060137985029,-0.40154952818032874,0.09268850129104078,0.1206268502924982,-0.1069029133680927,-0.0
PC7,0.15191555096380582,-0.04098058552685652,0.3875100860671711,0.30006702634479226,-0.0968571665850041,0.05783028259365802,0.024114279495041913,0.028295903401653,0.13831596604650154,0.13426167674836165,-0.23632791266064868,0.042475435197329575,0.05332126624947275,0.04015772638065786,0.22362856717661722,0.37809450971138997,-0.09727667486401842,0.05759640426074149,0.027315137773021053,0.028294874285393016,0.13831596604650162,0.13426167674836176,-0.23632791266064862,2.129973665773722e-43,-0.09678929141596294,0.057890157596932404,0.023572983964254564,0.028296200136373642,-0.12956355916607923,-0.09099465197965025,0.26894911015044026,-0.015172959933978433,0.13831596604650162,0.13426167674836176,-0.23632791266064862,-0.0,-0.12365386797338446,-0.08445963757177928,0.2580267949019675,-0.015172959933978433,-0.0,-0.0,-0.0,-0.0,-0.09684693674871694,0.0578306547884147,0.02415303673156861,0.02829590340165308,-0.0968571665850039,0.057830282593658064,0.0241142794950421,-0.0
PC8,0.21705450127335255,0.031481157650057226,0.4416934956676971,0.10412298852697571,0.007077890964987718,0.01720353914764973,-0.033011454294872344,-0.02924601074784909,-0.1790896349240499,-0.16929721369425899,0.30516526873779176,-0.024383901141034448,-0.007438071422449344,-0.026919521987591427,-0.3527338709055064,0.18751322418878807,0.006774047494393192,0.0169830167754936,-0.02887058146031617,-0.029245480924702225,-0.17908963492404986,-0.16929721369425899,0.30516526873779154,-1.234039479623007e-40,0.006992045545693711,0.017126704891149223,-0.03231196940894173,-0.029246179215652274,-0.051119657176202,-0.036730638796545985,0.21415281927140137,-0.0018893570699067776,-0.17908963492404986,-0.16929721369425899,0.30516526873779154,0.0,-0.06130630532875283,-0.04702039691725355,0.23945282525690997,-0.0018893570699067776,0.0,0.0,0.0,0.0,0.007066109206698502,0.017207221679540363,-0.033047331702629246,-0.029246010747849226,0.007077890964987648,0.017203539147649657,-0.03301145429487239,0.0
PC9,0.34947303292660425,0.07849836226477797,0.2039010072919493,0.5575393728954936,0.050730962470251245,-0.07379610410423808,-0.06600589736651963,0.014240038496406648,0.05374085850639872,0.03420634196663046,-0.01671945394547153,0.10576082282484178,-0.31756600640796434,-0.0769952180986509,0.02568356809520774,-0.40726507777136123,0.05164265886752925,-0.07363465897901632,-0.06787942773037257,0.014235951572979515,0.05374085850639857,0.03420634196663038,-0.016719453945471665,1.8367099231598242e-39,0.050755813018381404,-0.07377953805784047,-0.0660253489568321,0.014240785468205983,0.22389231810929433,0.03925840439625424,-0.12422021004737495,-0.10236045863865738,0.05374085850639857,0.03420634196663038,-0.016719453945471665,-0.0,0.2293653537560922,0.041768751596647426,-0.12784947406312916,-0.10236045863865738,-0.0,-0.0,-0.0,-0.0,0.05088349705518281,-0.07378315228053815,-0.06599774023404908,0.014240038496406775,0.05073096247025119,-0.07379610410423802,-0.06600589736651975,-0.0
PC10,-0.008213544454301915,0.45409572342179005,-0.015204975625657017,0.07032332561591403,0.19746487039763821,0.09442729215896487,-0.04375016455920413,0.05359634040947908,0.057649896146658844,0.02176478993841268,-0.007236476475535086,0.12862410997511584,0.25805398887269637,-0.45533691124237907,0.009024778417554214,-0.03223842423297463,0.1964688548426805,0.09510271931724974,-0.043495201060932194,0.053592989027757845,0.057649896146658795,0.02176478993841255,-0.0072364764755351325,2.350988701644575e-37,0.1974890614635267,0.09443573924380483,-0.04375435865329706,0.05359724361864438,-0.2614917994711933,0.19663588095829082,0.019513598069119738,-0.0661741094926278,0.05764989614665879,0.02176478993841256,-0.007236476475535132,-0.0,-0.26143198104209386,0.20055622534822048,0.019404016238491098,-0.06617410949262778,-0.0,-0.0,-0.0,-0.0,0.19731739348223284,0.09451008441381861,-0.04375245734112723,0.053596340409478964,0.19746487039763813,0.09442729215896511,-0.04375016455920418,-0.0
